title,date,subject,gilligan_related,url,author,section,subject_type,notes
2020 PGA Award Nominations Include,2020-01-07T20:00:00+00:00,,review,https://www.slashfilm.com/571478/2020-pga-award-nominations-include-parasite-joker-the-irishman-and-more/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T20:30:50+00:00,,review,https://www.slashfilm.com/571476/killer-inside-the-mind-of-aaron-hernandez-trailer-new/,,,,Automated collection; review subject and Gilligan flag manually.
Jacob Hall,2020-01-07T21:00:10+00:00,,review,https://www.slashfilm.com/571444/jacob-halls-top-10-movies-of-2019/,,,,Automated collection; review subject and Gilligan flag manually.
"Daily Podcast: Is This What The Next Star Wars Saga Will Be About? Plus: Christian Bale In Thor 4, Golden Globe Winners, And More - SlashFilm",2020-01-07T21:30:55+00:00,,review,https://www.slashfilm.com/571486/daily-podcast-is-this-what-the-next-star-wars-saga-will-be-about-plus-christian-bale-in-thor-4-golden-globe-winners-and-more/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T22:00:17+00:00,,review,https://www.slashfilm.com/571469/into-the-dark-midnight-kiss-review/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T22:30:26+00:00,,review,https://www.slashfilm.com/571481/carrie-fisher-cgi-rise-of-skywalker/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-07T23:00:13+00:00,,review,https://www.slashfilm.com/571474/steven-universe-little-graduation-review/,,,,Automated collection; review subject and Gilligan flag manually.
Check Out Stunning New,2020-01-07T23:30:23+00:00,,review,https://www.slashfilm.com/571484/parasite-movie-art-neon-the-jokers/,,,,Automated collection; review subject and Gilligan flag manually.
2020 Visual Effects Society Awards Nominees:,2020-01-08T00:00:50+00:00,,review,https://www.slashfilm.com/571490/2020-visual-effects-society-awards-nominees/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T00:30:55+00:00,,review,https://www.slashfilm.com/571483/sex-education-season-2-trailer-messy-is-normal/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T01:00:38+00:00,,review,https://www.slashfilm.com/571472/underwater-clip/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T01:30:45+00:00,,review,https://www.slashfilm.com/571489/avenue-5-featurette/,,,,Automated collection; review subject and Gilligan flag manually.
"Superhero Bits: Chris Hemsworth Pledges $1 Million To Fight Australian Fires, Blue Beetle Series Rumors & More - SlashFilm",2020-01-08T02:00:26+00:00,,review,https://www.slashfilm.com/571480/superhero-bits-1879/,,,,Automated collection; review subject and Gilligan flag manually.
